"Nombre";"Matricula";"Color"
"Kellan Nelson";"FPZ622";"IndianRed"
"Clark Patel";"LZH715";"Lime"
"Belen Cook";"CQA026";"MediumTurquoise"
"Ralph Bright";"XUY568";"Beige"
"Terry Tyson";"YML533";"RosyBrown"
"Amiya Gray";"AQS513";"Orange"
"Malia Morrow";"MOI708";"Lime"
"Elyse Wynn";"MFV156";"DarkMagenta"
"Krystal Munoz";"NEQ773";"DarkOrchid"
"Kendrick Dalton";"DZO547";"DarkGray"
"Lailah Wheeler";"OVE914";"GreenYellow"
"Francesca Jones";"KCT469";"AntiqueWhite"
"Gilberto Haney";"AME090";"DarkGoldenRod"
"Beatrice Norman";"YYB975";"SandyBrown"
"Mayson Hayden";"DBX014";"DarkViolet"
"Tanner Clemons";"XNR202";"Navy"
"Konner Young";"MFH080";"PeachPuff"
"Sage Sanford";"EEF774";"BlanchedAlmond"
"Maximilian Gonzales";"PQZ192";"DodgerBlue"
"Amalia Wise";"XKE413";"DeepSkyBlue"
"Trent Porter";"RFH516";"MintCream"
"Jaydin Hester";"XQR352";"DarkSlateGray"
"Leighton Bender";"RUD960";"Magenta"
"Evelyn Gordon";"KOC848";"PeachPuff"
"Whitney Riddle";"CQK943";"BlueViolet"
"Juan Mitchell";"YAN026";"Cornsilk"
"Aiden Irwin";"VJA009";"SeaGreen"
"Kara Sharp";"NEA593";"OldLace"
"Madeleine Manning";"JNC187";"Navy"
"Hunter Cline";"MEB858";"DarkOrange"
"Kenzie Rowe";"UHR785";"Tan"
"Michelle Wood";"CWY331";"DarkRed"
"Desmond Branch";"OYV612";"LightGreen"
"Alexis Clemons";"ESI582";"Moccasin"
"Jemma Sawyer";"ICE151";"PeachPuff"
"Sloan Gaines";"NKA474";"Yellow"
"Sarai Hawkins";"GHY579";"PeachPuff"
"Madelynn Rivera";"ZDE561";"DarkOrchid"
"Wendy Weber";"SMG859";"GreenYellow"
"Avery Cohen";"SVH840";"Crimson"
"Raelyn Snow";"QIC198";"Gainsboro"
"Amber Cannon";"CJH972";"Gainsboro"
"Milana Neal";"DEX508";"CornflowerBlue"
"Colby Atkins";"ASG242";"Aquamarine"
"Nikolai Read";"PMC983";"Sienna"
"Bryanna Spence";"AGS692";"LavenderBlush"
"Layla Reynolds";"KYC833";"LightSeaGreen"
"Alani Gregory";"WFP357";"SkyBlue"
"Giselle Richmond";"QIJ806";"DarkSlateGray"
"Aryana Jensen";"IMV852";"NavajoWhite"
"Cindy Fischer";"PPZ016";"MediumPurple"
"Kaden Harrell";"GCK396";"Blue"
"Levi Cardenas";"DUF052";"DodgerBlue"
"Jett Burt";"DPH871";"Beige"
"Zion Jarvis";"HBV985";"Indigo"
"Kamari Griffin";"CYC954";"LightGray"
"Maryam Tillman";"LJE247";"Peru"
"Roman Avila";"DOV819";"PaleVioletRed"
"Brayan Lara";"LLE744";"AliceBlue"
"Analia Walton";"NYK677";"LightSalmon"
"Nylah Odom";"NUG596";"Teal"
"Jeffrey Collins";"VOP620";"PaleGoldenRod"
"Gary Ellis";"AMC667";"MediumBlue"
"Kyla Kerr";"KRK252";"Thistle"
"Elena Houston";"LBM692";"Moccasin"
"Mara Castillo";"JYR169";"PapayaWhip"
"Zoie English";"BWU066";"LightSeaGreen"
"Armani Myers";"CGO111";"DarkOrchid"
"Jaelynn Dodson";"LJI202";"SlateBlue"
"Kyndall Hess";"KTT399";"IndianRed"
"Bronson Poole";"LFK734";"FloralWhite"
"Megan Carter";"FUE227";"MediumAquaMarine"
"Francisco Cummings";"DEN244";"SaddleBrown"
"Aimee Anthony";"GAB651";"MediumVioletRed"
"Elena Floyd";"EHE297";"Salmon"
"Valentin Gill";"NNU270";"GoldenRod"
"Julius Castillo";"KFG279";"YellowGreen"
"Derick Ryan";"WDA145";"Lavender"
"Kensley Farley";"XBZ682";"ForestGreen"
"Akira Rivers";"AQE751";"Peru"
"Javier Pope";"KOC937";"SteelBlue"
"Everett Mcgee";"PVM527";"SpringGreen"
"Asher Lewis";"NEM420";"CadetBlue"
"Kenna Arnold";"FUF331";"LavenderBlush"
"Payton Mccray";"TNJ980";"Red"
"Asher Wong";"NXO278";"MidnightBlue"
"Cameron Marsh";"HLJ308";"DarkSlateGray"
"Hadassah Romero";"VMS221";"FloralWhite"
"Collin Guy";"LPP064";"DarkRed"
"Dayton Dickerson";"OLH932";"RoyalBlue"
"Allan Cortez";"SCR118";"DarkSlateBlue"
"Raphael Blackburn";"RUJ268";"AntiqueWhite"
"Cristopher Moran";"GRC048";"Olive"
"Casey Hooper";"ZTA637";"MediumSlateBlue"
"Alayna Ramsey";"MPC747";"OrangeRed"
"Sergio Wiggins";"VMY310";"DeepSkyBlue"
"Jaycob Carlson";"CFX281";"LightSteelBlue"
"Reginald Hughes";"VCP642";"DarkCyan"
"Lukas Fitzgerald";"LLO298";"LightYellow"
"Rohan Ortiz";"SER454";"OldLace"
"Carissa Cherry";"PHO823";"PapayaWhip"
"Angelo Weeks";"VWM642";"LightGoldenRodYellow"
"Kale Austin";"KDU239";"DarkMagenta"
"Valerie Chambers";"UZD545";"MediumOrchid"
"Annie Colon";"EUO428";"Tan"
"Austin Peck";"LPO834";"LimeGreen"
"Zayne Fuller";"UNU489";"Moccasin"
"Griffin Snow";"UNH985";"MediumAquaMarine"
"Lizbeth Logan";"FPR469";"Tan"
"Bruce Hamilton";"VZY034";"GoldenRod"
"Fletcher Diaz";"DAF914";"DarkViolet"
"Kallie Sexton";"YOJ869";"Purple"
"Mason Larsen";"IFF076";"DarkKhaki"
"Luka Hardy";"VGY366";"Black"
"Kyndal Jensen";"GYP028";"Black"
"Aaron Kelly";"NJD075";"MediumSpringGreen"
"Kara Simmons";"BBB827";"DarkGoldenRod"
"Angel West";"CSJ209";"DarkKhaki"
"Keith Newman";"RFU533";"LightCoral"
"Kensley Britt";"UOK174";"DarkBlue"
"Enzo Solis";"GHZ640";"Magenta"
"Otto Nixon";"RBN109";"Moccasin"
"Leslie Hayes";"AXL518";"LightSteelBlue"
"Ivanna Roman";"UHL199";"Tomato"
"Elsa Rich";"VPI646";"Azure"
"Callum Gonzalez";"OVN182";"OldLace"
"Clark Ward";"PGL245";"Turquoise"
"Amos Zimmerman";"VLM409";"Azure"
"Maxx Bean";"DXH476";"Pink"
"Elianna Dunlap";"WCS132";"Wheat"
"Karla Clarke";"SDG142";"DarkCyan"
"Malia Weiss";"FAW602";"HotPink"
"Ahmed Blankenship";"DCP362";"Chartreuse"
"Darius Kennedy";"SER503";"BlueViolet"
"Demetrius Madden";"SBT794";"Cyan"
"Heath Farmer";"VHY533";"GhostWhite"
"Nylah Cannon";"ICI631";"LightGreen"
"Hadassah Langley";"GMC133";"OrangeRed"
"Hayleigh Avila";"XPC783";"BurlyWood"
"Jocelyn Jones";"WPB704";"FloralWhite"
"Janiya Mullen";"QQL011";"NavajoWhite"
"Autumn Chandler";"BVP660";"Tomato"
"Winston Mclean";"XAO074";"Gainsboro"
"Larissa Rivera";"HLZ576";"Maroon"
"Corinne Parks";"SBA120";"MintCream"
"Aden Green";"QHF439";"Brown"
"Makenna Coleman";"PKZ444";"Orchid"
"Omari David";"REQ700";"DarkViolet"
"Priscilla Cooke";"AIC448";"Turquoise"
"Ximena Strong";"GSZ307";"SlateGray"
"Sabrina Ashley";"RDW254";"Azure"
"Rohan Cochran";"TPJ848";"White"
"Frankie Cote";"JWR988";"Snow"
"Darren Avila";"RMD741";"MediumPurple"
"Grayson Vazquez";"THI932";"BlanchedAlmond"
"Regina Finch";"TAG060";"LavenderBlush"
"Regan Mercado";"SQO019";"DarkTurquoise"
"Selena Hammond";"KSH959";"Thistle"
"Jaylah Buckner";"WFB944";"GreenYellow"
"Janiya Craft";"FYZ734";"DarkSlateGray"
"Cyrus Mills";"DUK629";"DeepPink"
"Rayden Fuentes";"IAK023";"DarkSlateBlue"
"Eduardo Boyer";"XMN443";"Beige"
"Mckenna Lewis";"ODJ313";"DarkTurquoise"
"Annie Austin";"WIM397";"LightSteelBlue"
"Kevin Horton";"OGQ745";"Fuchsia"
"Aiden Mayer";"CZC585";"LightGray"
"Bruno Hurley";"DQF154";"Yellow"
"Raegan Swanson";"TPP277";"SeaGreen"
"Addison Hopper";"HAT342";"MediumSpringGreen"
"Zander Carpenter";"EBD568";"MediumVioletRed"
"Reese Glover";"TJQ956";"Chocolate"
"Gary Stout";"TPF430";"OliveDrab"
"Reece Avila";"BHV425";"Beige"
"Addilyn Ratliff";"IIP853";"LavenderBlush"
"Isabelle Nichols";"CJB384";"DarkBlue"
"Dangelo Myers";"TSZ918";"DarkKhaki"
"Alannah Rios";"NPL445";"DarkCyan"
"Mia Tate";"FXP298";"Thistle"
"River Delgado";"RIY054";"ForestGreen"
"Milania Dixon";"CWW498";"Tomato"
"Lia Finley";"FLU729";"MistyRose"
"Macy Jenkins";"NWV273";"CadetBlue"
"Londyn Mendoza";"QSV296";"LightGreen"
"Estrella Talley";"ERZ160";"Plum"
"Madilynn Roth";"EPR788";"DeepPink"
"Dwayne Mayer";"OMI989";"Navy"
"Wesley Stuart";"QOF211";"MediumOrchid"
"Mustafa Stein";"ZKK466";"RosyBrown"
"Courtney Wong";"EVX530";"Coral"
"Ahmad Schwartz";"SAA790";"LightGreen"
"Santiago Gutierrez";"WTJ999";"DarkBlue"
"Peter Johnston";"BIU956";"Bisque"
"Darren Moses";"PSP981";"LawnGreen"
"Ricky Hammond";"TYZ293";"DarkSeaGreen"
"Kohen Morrison";"HYS990";"DarkOliveGreen"
"Nathanael Swanson";"TVM457";"LightYellow"
"Kamryn Bright";"AJH363";"Crimson"
"Drew Solis";"SFN784";"LightGray"
"Makenzie Wyatt";"YJQ411";"Black"
"Brecken Chavez";"BUB367";"GoldenRod"
"Alejandra Mcknight";"PDU017";"BurlyWood"
"Ashley Ferguson";"BFA461";"MediumSeaGreen"
"Zander Foley";"SWT769";"Cyan"
"Miguel Kirk";"XYM304";"MediumSpringGreen"
"Sofia Nunez";"IBD448";"LightSeaGreen"
"Tabitha Carter";"CJQ945";"DeepPink"
"Armando Head";"URF396";"Bisque"
"Angeline Sweeney";"TYD024";"MistyRose"
"Mohamed Hawkins";"YFN903";"FloralWhite"
"William Wagner";"PKN493";"Navy"
"Mckenna Sawyer";"KBE826";"DarkGoldenRod"
"Krystal Terrell";"WQB451";"DarkMagenta"
"Holly Freeman";"GBB098";"Aqua"
"Ryleigh Hicks";"XRI787";"Chocolate"
"Danna Keith";"AQJ779";"NavajoWhite"
"Emilio Moss";"VWU342";"Ivory"
"Yuliana Baird";"HMY706";"LightGoldenRodYellow"
"Ashton Mathews";"KIH282";"LemonChiffon"
"Seth Salinas";"HGZ264";"DarkRed"
"Lewis Spencer";"AUZ432";"LawnGreen"
"Desmond Johnston";"JUE905";"Linen"
"Jazmine Kline";"SUS130";"Blue"
"Craig Short";"IOE543";"HotPink"
"Viviana Travis";"HRH480";"PaleGreen"
"Isabel Mcdaniel";"LYT149";"Wheat"
"Julieta Osborne";"WCW413";"FloralWhite"
"Riley Silva";"YHY146";"SpringGreen"
"Jaidyn Ross";"YAX925";"DimGray"
"Cameron Holcomb";"XFZ066";"MidnightBlue"
"Alina Thompson";"SPX501";"DarkBlue"
"Helena Hayden";"PCG846";"DarkSlateGray"
"Madelyn Elliott";"FHF503";"LightGreen"
"Jaylyn Riley";"EBJ092";"LightSlateGray"
"Jaxen Osborn";"DZI911";"Ivory"
"Jaylyn Burch";"IZL898";"NavajoWhite"
"Lyla Gill";"ZRS074";"AntiqueWhite"
"Demarcus Kent";"RPT191";"PowderBlue"
"Royce Lane";"HLG025";"Orange"
"Nicole Small";"QTI853";"DarkGray"
"Maxton Henry";"ZFE670";"Aqua"
"Lauryn Pollard";"MIF791";"Linen"
"Kaylin Lynn";"GWZ858";"PaleGreen"
"Maximo Barnett";"UDH284";"DarkSeaGreen"
"Scott Boyd";"GYY251";"DarkGoldenRod"
"Brenden Mayer";"FYM736";"SkyBlue"
"Vihaan Becker";"LZN315";"Tan"
"Vera Becker";"HAP663";"DarkSlateGray"
"Kaeden Rhodes";"OWH478";"Violet"
"Eddie Wells";"OAI661";"DarkOrchid"
"Hailey Ryan";"PGL164";"NavajoWhite"
"Adrienne Fox";"QTP265";"Chartreuse"
"Jalen Mason";"VQA919";"Violet"
"Clarissa Guthrie";"IXG725";"DarkMagenta"
"Nyla Green";"PBU552";"Green"
"Maya Whitfield";"HRI478";"MediumSeaGreen"
"Eden Bailey";"CKQ310";"Gainsboro"
"Morgan Pierce";"MPJ285";"PapayaWhip"
"Konner Wilkins";"LWM953";"DarkRed"
"Neveah Espinoza";"BJJ256";"IndianRed"
"Maritza Decker";"GSH619";"LightGreen"
"Trevor Gutierrez";"BAC239";"Pink"
"Brendan Freeman";"LKN095";"DarkBlue"
"Rodolfo Gilmore";"GIO310";"SkyBlue"
"Kensley Wong";"VAA866";"DarkGoldenRod"
"Kaylen Waters";"PRA329";"DarkTurquoise"
"Lyric Albert";"HCQ802";"Tan"
"Louis Robinson";"GDP097";"Thistle"
"Alivia Kent";"PFE425";"SteelBlue"
"Reese Leon";"ZLJ345";"DarkCyan"
"Ivanna Richard";"SVJ878";"DarkViolet"
"Spencer Hodge";"TCJ966";"Tan"
"Kingston Joseph";"EFO350";"DarkSeaGreen"
"Audriana Spencer";"CIY707";"FloralWhite"
"Kaitlyn Jimenez";"FOV814";"MediumTurquoise"
"Salvador James";"IKJ524";"DarkGreen"
"Bronson Gross";"NVE564";"MediumSlateBlue"
"Claudia Winters";"HGP153";"MediumSeaGreen"
"Dean Oliver";"IQW041";"MediumOrchid"
"Aliana Berry";"NLN415";"DarkSeaGreen"
"Emilio Short";"AQJ177";"Chocolate"
"Jalen Gibbs";"ZVX264";"Indigo"
"Knox Hawkins";"QSF904";"BlanchedAlmond"
"Leonidas Wolfe";"OTI836";"MediumBlue"
"Elliott Green";"BCT861";"LightGray"
"Malaki Rosales";"CGF436";"LemonChiffon"
"Aaden Albert";"QDV911";"CornflowerBlue"
"Nathanael Rivers";"LXJ153";"Red"
